author,antibiotic_category,year,num_resistant,num_total,troy_pooled_prev,logit_event_rate,std_err,variance,inverse_N,major_source,tri_source,natl_income,tri_income,country,antibioic_abb,antibiotic,sub_clinical,sub_WW2,sub_WW3,sub_seafood,sub_aquaculture,sub_DW,sub_SW,sub_agr,agr_farm,A_Wa2000,A_Wa2015,A_Wa_ratio,DID2000,EPI,HLT,AIR,H2O,HMT,WMG,BDH,ECS,FSH,CCH,APE,WRS,WWT
Wang et al. 2009,carbapenem,,4,33,0.1212,-1.981001469,0.533369252,0.284482759,0.03030303,Clinical,Clinical,4,75-100,Taiwan,CARB,Imipenem,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Wang et al. 2009,Ciprofloxacin,2009,0,33,0.0147,-4.204692619,1.424728306,2.029850746,0.03030303,Clinical,Clinical,4,75-100,Taiwan,CIP,Ciprofloxacin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Wang et al. 2009,Gentamicin,,0,33,0.0147,-4.204692619,1.424728306,2.029850746,0.03030303,Clinical,Clinical,4,75-100,Taiwan,GEN,Gentamicin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Wang et al. 2009,SXT,,7,33,0.2121,-1.312186389,0.425815314,0.181318681,0.03030303,Clinical,Clinical,4,75-100,Taiwan,SXT,Sulfamethoxazole-Trimethoprim (SXT),Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Chen et al. 2013,carbapenem,,4,50,0.08,-2.442347035,0.521286035,0.27173913,0.02,Clinical,Clinical,4,75-100,Taiwan,CARB,Imipenem,Tissue,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Chen et al. 2013,Gentamicin,,0,50,0.0098,-4.615120517,1.421197376,2.01980198,0.02,Clinical,Clinical,4,75-100,Taiwan,GEN,Gentamicin,Tissue,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Penders et al.,Chloramphenicol,2008,0,79,0.0063,-5.068904202,1.418653804,2.012578616,0.012658228,Seafood,Agriculture,4,75-100,Netherlands,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Penders et al.,Ciprofloxacin,2008,0,79,0.0063,-5.068904202,1.418653804,2.012578616,0.012658228,Seafood,Agriculture,4,75-100,Netherlands,CIP,Ciprofloxacin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Chang et al. 2007,Chloramphenicol,2007,1,8,0.125,-1.945910149,1.069044968,1.142857143,0.125,Clinical,Clinical,4,75-100,Taiwan,CHL,Chloramphenicol,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Chang et al. 2007,SXT,,4,8,0.5,0,0.707106781,0.5,0.125,Clinical,Clinical,4,75-100,Taiwan,SXT,Sulfamethoxazole-Trimethoprim (SXT),Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Chang et al. 2007,tetracycline,,3,8,0.375,-0.510825624,0.730296743,0.533333333,0.125,Clinical,Clinical,4,75-100,Taiwan,TET,Tetracycline,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,4.5,4,1.13,6.4,57.2,59.2,53.2,72.4,73.6,0,65,49.2,13.8,63.1,100,7.1,7.1
Verburg et al,Ciprofloxacin,2019,1,134,0.0075,-4.890349128,1.003752358,1.007518797,0.007462687,Wastewater,Environment,4,75-100,Netherlands,CIP,Ciprofloxacin,Blank,Treated,Treated,Blank,Blank,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Verburg et al,Gentamicin,2019,1,134,0.0075,-4.890349128,1.003752358,1.007518797,0.007462687,Wastewater,Environment,4,75-100,Netherlands,GEN,Gentamicin,Blank,Treated,Treated,Blank,Blank,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Verburg et al,SXT,2019,80,520,0.1538,-1.704748092,0.121543109,1.48E-02,0.001923077,Wastewater,Environment,4,75-100,Netherlands,SXT,sulfamethoxazole-Trimethoprim (SXT),Blank,Untreated,Untreated,Blank,Blank,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Verburg et al.,Ciprofloxacin,2019,54,520,0.1038,-2.155201588,0.143751317,2.07E-02,0.001923077,Wastewater,Environment,4,75-100,Netherlands,CIP,Ciprofloxacin,Blank,Untreated,Untreated,Blank,Blank,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Verburg et al.,Gentamicin,2019,25,520,0.0481,-2.985681938,0.204988297,0.042020202,0.001923077,Wastewater,Environment,4,75-100,Netherlands,GEN,Gentamicin,Blank,Untreated,Untreated,Blank,Blank,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Verburg et al.,SXT,2019,8,134,0.0597,-2.756840365,0.364604591,0.132936508,0.007462687,Wastewater,Environment,4,75-100,Netherlands,SXT,sulfamethoxazole-Trimethoprim (SXT),Blank,Treated,Treated,Blank,Blank,Blank,Blank,Blank,Blank,2,2.2,0.91,6.9,75.3,91,82.4,100,95.1,100,83.7,42.8,13.1,65.8,100,100,100
Garibay et al. 2006,3rd gen,,5,161,0.0311,-3.440418095,0.454323955,0.206410256,0.00621118,Clinical,Clinical,3,50-75,Mexico,3rd CEF,Cefotaxime,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Garibay et al. 2006,carbapenem,,2,161,0.0124,-4.375757022,0.711540096,0.506289308,0.00621118,Clinical,Clinical,3,50-75,Mexico,CARB,Imipenem,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Garibay et al. 2006,Ciprofloxacin,2006,3,161,0.0186,-3.963982744,0.582805669,0.339662447,0.00621118,Clinical,Clinical,3,50-75,Mexico,CIP,Ciprofloxacin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Garibay et al. 2006,Gentamicin,,2,161,0.0124,-4.375757022,0.711540096,0.506289308,0.00621118,Clinical,Clinical,3,50-75,Mexico,GEN,Gentamicin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Garibay et al. 2006,SXT,,5,161,0.0311,-3.440418095,0.454323955,0.206410256,0.00621118,Clinical,Clinical,3,50-75,Mexico,SXT,Sulfamethoxazole-Trimethoprim (SXT),Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,3rd gen,2002,0,77,0.0064,-5.043425117,1.418768207,2.012903226,0.012987013,Seafood,Agriculture,3,50-75,Mexico,3rd CEF,Cefotaxime,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,carbapenem,2002,8,77,0.1039,-2.154664963,0.373487287,0.139492754,0.012987013,Seafood,Agriculture,3,50-75,Mexico,CARB,Imipenem,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,Chloramphenicol,2002,7,77,0.0909,-2.302585093,0.396412484,0.157142857,0.012987013,Seafood,Agriculture,3,50-75,Mexico,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,Ciprofloxacin,2002,32,77,0.4156,-0.340926587,0.231240615,5.35E-02,0.012987013,Seafood,Agriculture,3,50-75,Mexico,CIP,Ciprofloxacin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,Erythromycin,2002,42,77,0.5455,0.182321557,0.228868854,5.24E-02,0.012987013,Seafood,Agriculture,3,50-75,Mexico,ERY,Erythromycin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,Gentamicin,2002,45,77,0.5844,0.340926587,0.231240615,5.35E-02,0.012987013,Seafood,Agriculture,3,50-75,Mexico,GEN,Gentamicin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,SXT,2002,38,77,0.4935,-2.60E-02,0.227940376,5.20E-02,0.012987013,Seafood,Agriculture,3,50-75,Mexico,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Castro-Escarpulli et al.,tetracycline,2002,34,77,0.4416,-0.234839591,0.22949418,5.27E-02,0.012987013,Seafood,Agriculture,3,50-75,Mexico,TET,Tetracycline,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Sarria-Guzman et al. ,3rd gen,2013,1,46,0.0217,-3.80666249,1.011050059,1.022222222,0.02173913,Seafood,Agriculture,3,50-75,Mexico,3rd CEF,Cefotaxime,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Sarria-Guzman et al. ,Chloramphenicol,2013,12,46,0.2609,-1.041453875,0.335775368,0.112745098,0.02173913,Seafood,Agriculture,3,50-75,Mexico,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Sarria-Guzman et al. ,Gentamicin,2013,5,46,0.1087,-2.104134154,0.473698474,0.224390244,0.02173913,Seafood,Agriculture,3,50-75,Mexico,GEN,Gentamicin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Sarria-Guzman et al. ,SXT,2013,18,46,0.3913,-0.441832752,0.302108989,9.13E-02,0.02173913,Seafood,Agriculture,3,50-75,Mexico,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Sarria-Guzman et al. ,tetracycline,2013,3,46,0.0652,-2.662587827,0.597150858,0.356589147,0.02173913,Seafood,Agriculture,3,50-75,Mexico,TET,Tetracycline,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Novoa-Farías et al. 2015,Chloramphenicol,2015,270,1000,0.27,-0.994622575,7.12E-02,5.07E-03,0.001,Clinical,Clinical,3,50-75,Mexico,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Novoa-Farías et al. 2015,Ciprofloxacin,2015,327,1000,0.327,-0.721785159,6.74E-02,4.54E-03,0.001,Clinical,Clinical,3,50-75,Mexico,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Novoa-Farías et al. 2015,SXT,,464,1000,0.464,-0.144249609,6.34E-02,4.02E-03,0.001,Clinical,Clinical,3,50-75,Mexico,SXT,Sulfamethoxazole-Trimethoprim (SXT),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Pérez-Valdespino et al. 2009,Chloramphenicol,2009,2.08,41,0.0507,-2.929140364,0.711662112,0.506462961,0.024390244,Clinical,Clinical,3,50-75,Mexico,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Pérez-Valdespino et al. 2009,Erythromycin,,4.97,41,0.1212,-1.980932085,0.478499626,0.228961892,0.024390244,Clinical,Clinical,3,50-75,Mexico,ERY,Erythromycin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Pérez-Valdespino et al. 2009,tetracycline,,15.91,41,0.388,-0.455521518,0.320484115,0.102710068,0.024390244,Clinical,Clinical,3,50-75,Mexico,TET,Tetracycline,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,2.6,1.2,2.17,6.8,52.6,47.5,40.8,52.8,45.7,74.3,72.9,32.5,12.8,65.2,71.4,31.6,31.6
Dumontet et al. 2003,3rd gen,,1,29,0.0345,-3.33220451,1.017700489,1.035714286,0.034482759,Clinical,Clinical,4,75-100,Italy,3rd CEF,Cefotaxime,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Dumontet et al. 2003,carbapenem,,1,29,0.0345,-3.33220451,1.017700489,1.035714286,0.034482759,Clinical,Clinical,4,75-100,Italy,CARB,Imipenem,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Dumontet et al. 2003,Chloramphenicol,2003,2,29,0.069,-2.602689685,0.732828109,0.537037037,0.034482759,Clinical,Clinical,4,75-100,Italy,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Dumontet et al. 2003,Ciprofloxacin,2003,0,29,0.0167,-4.077537444,1.426148066,2.033898305,0.034482759,Clinical,Clinical,4,75-100,Italy,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Dumontet et al. 2003,Gentamicin,,0,29,0.0167,-4.077537444,1.426148066,2.033898305,0.034482759,Clinical,Clinical,4,75-100,Italy,GEN,Gentamicin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Dumontet et al. 2003,SXT,,7,29,0.2414,-1.145132304,0.433948947,0.188311688,0.034482759,Clinical,Clinical,4,75-100,Italy,SXT,Sulfamethoxazole-Trimethoprim (SXT),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Dumontet et al. 2003,tetracycline,,4,29,0.1379,-1.832581464,0.538516481,0.29,0.034482759,Clinical,Clinical,4,75-100,Italy,TET,Tetracycline,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Ottaviani et al.,3rd gen,2006,2,32,0.0625,-2.708050201,0.730296743,0.533333333,0.03125,Seafood,Agriculture,4,75-100,Italy,3rd CEF,Cefotaxime,Blank,Blank,Blank,Shellfish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Ottaviani et al.,carbapenem,2006,0,32,0.0152,-4.17438727,1.425050606,2.030769231,0.03125,Seafood,Agriculture,4,75-100,Italy,CARB,Imipenem,Blank,Blank,Blank,Shellfish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Ottaviani et al.,Chloramphenicol,2006,0,32,0.0152,-4.17438727,1.425050606,2.030769231,0.03125,Seafood,Agriculture,4,75-100,Italy,CHL,Chloramphenicol,Blank,Blank,Blank,Shellfish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Ottaviani et al.,Ciprofloxacin,2006,0,32,0.0152,-4.17438727,1.425050606,2.030769231,0.03125,Seafood,Agriculture,4,75-100,Italy,CIP,Ciprofloxacin,Blank,Blank,Blank,Shellfish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Ottaviani et al.,SXT,2006,6,32,0.1875,-1.466337069,0.452910814,0.205128205,0.03125,Seafood,Agriculture,4,75-100,Italy,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Shellfish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Ottaviani et al.,tetracycline,2006,0,32,0.0152,-4.17438727,1.425050606,2.030769231,0.03125,Seafood,Agriculture,4,75-100,Italy,TET,Tetracycline,Blank,Blank,Blank,Shellfish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Scarano et al.,Chloramphenicol,2018,100,104,0.9615,3.218875825,0.509901951,0.26,0.009615385,Seafood,Agriculture,4,75-100,Italy,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Scarano et al.,Erythromycin,2018,16,104,0.1538,-1.704748092,0.271778653,7.39E-02,0.009615385,Seafood,Agriculture,4,75-100,Italy,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Scarano et al.,Gentamicin,2018,100,104,0.9615,3.218875825,0.509901951,0.26,0.009615385,Seafood,Agriculture,4,75-100,Italy,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Scarano et al.,tetracycline,2018,96,104,0.9231,2.48490665,0.367990036,0.135416667,0.009615385,Seafood,Agriculture,4,75-100,Italy,TET,Tetracycline,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al.,Erythromycin,2020,41,69,0.5942,0.381367557,0.245162252,6.01E-02,0.014492754,Seafood,Agriculture,4,75-100,Italy,ERY,Erythromycin,Blank,Blank,Blank,Fish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al.,Gentamicin,2020,1,69,0.0145,-4.219507705,1.007326105,1.014705882,0.014492754,Seafood,Agriculture,4,75-100,Italy,GEN,Gentamicin,Blank,Blank,Blank,Fish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al.,SXT,2020,13,69,0.1884,-1.460402333,0.307863963,9.48E-02,0.014492754,Seafood,Agriculture,4,75-100,Italy,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al.,tetracycline,2020,8,69,0.1159,-2.031432322,0.376023194,0.141393443,0.014492754,Seafood,Agriculture,4,75-100,Italy,TET,Tetracycline,Blank,Blank,Blank,Fish,Wild,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al. 2020,Erythromycin,2020,14,26,0.5385,0.15415068,0.393397896,0.154761905,0.038461538,Seafood,Agriculture,4,75-100,Italy,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al. 2020,Gentamicin,2020,2,26,0.0769,-2.48490665,0.735980072,0.541666667,0.038461538,Seafood,Agriculture,4,75-100,Italy,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Borella et al. 2020,SXT,2020,3,26,0.1154,-2.036881927,0.613849814,0.376811594,0.038461538,Seafood,Agriculture,4,75-100,Italy,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Beger et al. 2018,SXT,,3,5,0.6,0.405465108,0.912870929,0.833333333,0.2,Clinical,Clinical,4,75-100,Germany,SXT,Sulfamethoxazole-Trimethoprim (SXT),Tissue,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.6,0.9,1.78,7.3,77.2,89.6,81.1,99,90.7,97.9,88.8,39.7,14,71.5,96,97,97
Borella et al,tetracycline,2020,10,26,0.3846,-0.470003629,0.403112887,0.1625,0.038461538,Seafood,Agriculture,4,75-100,Italy,TET,Tetracycline,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,0.7,1.1,0.64,7.4,71,85.5,75.9,98.2,81.5,83.7,75.6,37.9,14.9,68.1,81.4,58.8,58.8
Zahran et al.,3rd gen,2019,2,9,0.2222,-1.252762968,0.801783726,0.642857143,0.111111111,Clinical,Clinical,2,0-50,Egypt,3rd CEF,Ceftriaxone,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Zahran et al. 2019,carbapenem,,2,9,0.2222,-1.252762968,0.801783726,0.642857143,0.111111111,Clinical,Clinical,2,0-50,Egypt,CARB,Imipenem,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Zahran et al. 2019,Chloramphenicol,2019,3,9,0.3333,-0.693147181,0.707106781,0.5,0.111111111,Clinical,Clinical,2,0-50,Egypt,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Zahran et al. 2019,Ciprofloxacin,2019,9,9,0.95,2.944438979,1.4509525,2.105263158,0.111111111,Clinical,Clinical,2,0-50,Egypt,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Zahran et al. 2019,Erythromycin,,4,9,0.4444,-0.223143551,0.670820393,0.45,0.111111111,Clinical,Clinical,2,0-50,Egypt,ERY,Erythromycin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
